0;1;2;3;Cfp;Wfp
CROPS;VEGETABLES (GENERIC);VEGETABLES NOT HEATED GREENHOUSE;ZUCCHINI (g);1,18;336
FISHING;FISH;ALFONSINO;-;5,19;2313,5
FISHING;FISH;ANCHOVY;-;0,82;2313,5
FISHING;FISH;ANGLERFISH;-;5,19;2313,5
FISHING;SHELLFISH;BARNACLE;-;2,30;1856
FISHING;FISH;BLACK CARP;-;5,19;2555
FISHING;FISH;CARP;-;5,19;2364
FISHING;FISH;CATFISH;-;5,19;2313,5
FISHING;FISH;COD;-;3,08;2782
FISHING;FISH FROZEN;COD (F);-;3,03;2313,5
FISHING;FISH PROCESSED;COD FISH STICK;-;2,12;2313,5
FISHING;SHELLFISH* (crustacean);CRUSTACEAN;-;7,04;1974
FISHING;SHELLFISH;CUTTLEFISH;-;5,80;1856
FISHING;FISH;DIAMOND FISH;-;5,19;2313,5
FISHING;FISH;EEL;-;5,19;2313,5
FISHING;FISH;FISH MIXED;-;4,99;2313,5
FISHING;FISH FROZEN;FISH STICK (F);-;2,20;2313,5
FISHING;FISH;FLATFISH;-;5,19;2313,5
FISHING;FISH;FLATHEAD;-;5,19;2313,5
FISHING;FISH;FLOUNDER;-;5,19;798
FISHING;FISH;FORK BEARD;-;5,19;2313,5
FISHING;FISH;GILSTHEAD SEABREAM;-;5,19;3543,5
FISHING;FISH;GRASS CARP;-;5,19;2229
FISHING;FISH;GROUPER;-;5,19;360
FISHING;FISH;HADDOCK;-;5,19;2313,5
FISHING;FISH FROZEN;HADDOCK (F);-;2,20;2313,5
FISHING;FISH;HAKE;-;10,40;2313,5
FISHING;FISH PROCESSED;HAKE FISH STICK;-;2,12;2313,5
FISHING;FISH;HERRING;-;1,24;2313,5
FISHING;FISH FROZEN;HERRING (F);-;1,30;2313,5
FISHING;SHELLFISH;KRILL;-;5,67;1856
FISHING;FISH;LING;-;5,19;2313,5
FISHING;SHELLFISH;LOBSTER;-;20,25;1856
FISHING;FISH;MACKEREL;-;1,80;2313,5
FISHING;FISH FROZEN;MACKEREL (F);-;2,20;2313,5
FISHING;FISH;MAJOR CARP;-;5,19;3808
FISHING;FISH PROCESSED;MAKEREL FISH STICK;-;2,12;2313,5
FISHING;FISH;MANDARIN FISH;-;5,19;88
FISHING;FISH;MEGRIM;-;5,19;2313,5
FISHING;FISH;MILKFISH;-;5,19;2471,5
FISHING;FISH FROZEN;MIXED FISH (F);-;2,20;2313,5
FISHING;SHELLFISH;MUSSELS;-;0,46;1856
FISHING;SHELLFISH;OCTOPUS;-;5,80;1856
FISHING;SHELLFISH FROZEN;OCTOPUS (F);-;11,47;1856
FISHING;FISH;PANGASIID;-;5,19;1909,5
FISHING;FISH;PILCHARD;-;5,19;2313,5
FISHING;FISH;PLAICE;-;5,19;2313,5
FISHING;FISH;POLLOCK;-;5,19;2313,5
FISHING;FISH FROZEN;POLLOCK (F);-;2,20;2313,5
FISHING;FISH FROZEN;POLLOCK STICK (F);-;2,20;2313,5
FISHING;FISH;POMFRET;-;5,19;2313,5
FISHING;FISH;PORBEAGLE;-;5,19;2313,5
FISHING;SHELLFISH* (crustacean);PRAWNS GIANT;-;7,04;1738
FISHING;SHELLFISH;PRAWNS/SHRIMPS;-;7,04;1856,0
FISHING;SHELLFISH FROZEN;PRAWNS/SHRIMPS (F);-;15,07;1856
FISHING;FISH;RED DRUM;-;5,19;2202
FISHING;FISH;RHOMBUS;-;5,19;2313,5
FISHING;FISH;ROCK FISH;-;5,19;2313,5
FISHING;FISH;SALMON;-;3,37;2193
FISHING;FISH FROZEN;SALMON (F);-;1,61;2313,5
FISHING;FISH;SARDINE;-;0,90;2313,5
FISHING;FISH;SEA-BASS;-;3,60;2313,5
FISHING;FISH;SEABASS;-;5,19;6524
FISHING;FISH;SHARK;-;5,19;2313,5
FISHING;FISH;SILVERBARB;-;5,19;2861,5
FISHING;FISH;SOLE;-;5,19;2313,5
FISHING;FISH FROZEN;SOLE (F);-;2,20;2313,5
FISHING;SHELLFISH;SQUID;-;5,80;1856
FISHING;FISH;STURGEON;-;5,19;13420
FISHING;FISH;SWARDFISH;-;5,19;2313,5
FISHING;FISH;TILAPIA;-;5,19;2263
FISHING;FISH;TROUT;-;4,20;2188
FISHING;FISH FROZEN;TROUT (F);-;2,20;2313,5
FISHING;FISH;TUNA;-;3,68;2313,5
FISHING;FISH FROZEN;TUNA (F);-;2,64;2313,5
FISHING;FISH PROCESSED;TUNA IN CAN;-;2,10;2313,5
FISHING;FISH;TURBOT;-;5,19;1504
FISHING;FISH;WHITING;-;5,19;2313,5
FISHING;FISH;WUCHANG BREAM;-;5,19;10550
